CIC0,SM1_DzZ,GATS1i,NdsCH,NdssC,MLOGP,LC50
4.1695,0.134,1.671,0.0,0.0,4.490099999999996,4.628
2.405,0.134,0.843,0.0,0.0,1.769,3.21
3.052,0.638,0.903,0.0,0.0,3.237,4.906
3.629,0.331,1.478,0.0,1.0,2.821,3.24
3.734,0.223,1.426,0.0,0.0,2.502,3.18
1.7752,1.079,1.44,1.0,1.0,2.081,3.47
3.023,0.56,1.349,1.0,0.0,1.239,3.917
1.961,0.134,1.215,1.0,0.0,0.548,2.567
2.834,0.134,1.009,0.0,0.0,2.066,3.448
3.402,0.496,1.45,1.0,0.0,2.345,4.557
2.479,0.887,0.954,0.0,0.0,1.748,4.257
2.62,0.499,0.99,0.0,0.0,3.21,4.33
4.1695,1.4397999999999995,0.964,0.0,0.0,3.522,5.19
4.029,0.965,1.729,0.0,0.0,4.038,4.451
2.781,0.711,1.147,0.0,0.0,1.515,3.846
1.7752,1.03,0.906,0.0,0.0,1.064,5.558
2.359,0.405,0.814,0.0,0.0,0.893,4.287
2.508,0.58,0.941,0.0,0.0,1.701,3.483
3.74,0.134,1.581,0.0,0.0,2.274,3.721
2.08,0.764,0.799,0.0,0.0,1.514,4.961
3.323,0.405,1.17,0.0,2.0,2.592,4.577
3.763,0.916,0.878,0.0,2.0,2.918,4.818
2.024,0.405,2.0102999999999995,0.0,1.0,0.133,2.269
2.982,0.496,1.151,0.0,1.0,1.783,3.522
3.103,0.134,1.521,0.0,0.0,2.193,3.267
4.1695,0.251,1.287,1.0,2.0,4.453,6.483
1.7752,0.713,1.19,0.0,0.0,0.501,2.319
3.645,0.223,1.155,0.0,0.0,3.105,5.178
3.315,0.223,0.799,0.0,0.0,3.127,4.44
3.452,0.331,1.098,0.0,1.0,2.54,3.742
4.1695,0.56,1.137,1.0,2.0,4.332,6.4837
3.557,0.331,1.301,1.0,1.0,2.209,4.711
2.888,0.405,1.472,1.0,2.0,1.522,5.105
2.465,1.4397999999999995,1.0,0.0,2.0,3.558,6.4837
2.086,1.4397999999999995,0.799,0.0,0.0,4.490099999999996,6.4837
3.405,0.251,1.56,0.0,0.0,1.272,4.132
2.448,0.638,0.921,0.0,0.0,1.701,3.521
2.685,0.405,1.145,0.0,0.0,1.246,3.219
2.726,0.496,1.108,0.0,1.0,1.06,3.1
2.888,0.251,1.771,0.0,0.0,1.398,2.983
1.962,1.345,0.799,0.0,0.0,3.617,5.752
2.126,1.278,0.896,0.0,0.0,4.490099999999996,5.361
3.0,0.134,0.938,1.0,0.0,2.851,3.513
3.036,0.405,1.205,0.0,1.0,2.351,4.247
3.485,0.223,1.614,0.0,0.0,1.94,3.507
3.609,0.811,1.208,0.0,0.0,3.291,4.38
3.423,1.19,1.993,0.0,2.0,-0.317,3.689
2.91,0.134,1.0,0.0,0.0,2.608,3.447
3.041,0.947,1.298,0.0,1.0,1.976,6.4837
2.677,0.331,1.582,0.0,1.0,0.586,2.895
3.315,0.916,1.753,0.0,2.0,-0.317,2.501
3.867,0.134,1.4,1.0,0.0,3.659,5.678
3.033,0.693,1.312,1.0,0.0,1.21,4.832
1.7752,0.83,1.432,0.0,1.0,1.672,2.856
2.118,0.956,2.0102999999999995,0.0,0.0,-0.317,3.845
3.046,0.134,1.333,0.0,2.0,2.352,4.075
3.567,0.711,1.501,1.0,2.0,1.759,4.043
2.125,0.638,0.831,0.0,0.0,1.348,3.531
2.448,0.638,1.121,0.0,0.0,1.701,2.904
2.439,0.93,0.924,0.0,0.0,1.748,5.007
2.077,1.236,0.829,0.0,1.0,3.458,4.424
3.351,0.797,2.0102999999999995,1.0,0.0,-0.197,3.903
3.74,0.134,1.581,0.0,0.0,3.186,4.396
2.251,0.638,0.871,1.0,0.0,1.61,4.021
2.477,0.83,0.983,0.0,0.0,3.795,4.54
3.171,0.134,1.189,1.0,0.0,2.42,3.569
2.439,0.93,0.924,0.0,0.0,1.748,4.856
2.297,0.762,0.799,0.0,0.0,2.841,3.555
2.183,0.93,0.846,0.0,0.0,1.395,4.224
2.216,0.389,0.799,0.0,0.0,1.953,3.751
2.482,1.303,1.415,0.0,0.0,0.575,4.919
2.555,1.11,1.686,0.0,0.0,0.289,2.601
3.63,0.134,1.476,0.0,0.0,3.358,4.305
2.198,0.798,0.799,0.0,1.0,2.056,3.328
3.645,0.223,1.155,0.0,0.0,3.105,4.81
2.479,0.887,0.954,0.0,0.0,1.748,5.341
4.1695,0.223,1.348,1.0,2.0,3.909,5.192
3.378,0.134,0.988,0.0,0.0,3.395,4.65
1.7752,0.331,1.627,1.0,0.0,-0.317,2.891
2.507,0.405,1.5,1.0,0.0,0.076,3.936
1.983,1.4397999999999995,2.0102999999999995,0.0,0.0,2.358,5.062
2.647,1.286,1.278,0.0,0.0,1.602,4.508
3.871,0.829,1.558,0.0,1.0,3.026,4.539
2.634,0.223,0.939,0.0,0.0,1.834,3.926
2.08,0.891,0.816,0.0,0.0,2.729,4.989
2.429,0.83,1.696,0.0,0.0,2.604,3.391
3.08,0.405,1.609,0.0,2.0,1.619,3.528
2.333,0.251,2.0102999999999995,0.0,0.0,-0.241,3.884
3.177,0.918,1.919,0.0,0.0,2.031,4.116
4.1695,1.4397999999999995,1.046,0.0,2.0,2.11,5.002
2.507,0.405,1.652,0.0,2.0,0.888,2.495
2.33,0.932,0.931,0.0,1.0,2.529,4.559
4.086,0.452,1.843,0.0,0.0,0.37,3.463
3.407,1.4397999999999995,1.653,0.0,0.0,1.145,6.258
3.501,0.405,1.585,1.0,1.0,2.27,5.147
2.086,1.4397999999999995,0.799,0.0,0.0,3.909,6.093
3.461,0.223,1.281,0.0,0.0,2.813,4.416
2.375,1.026,1.09,0.0,1.0,2.553,3.895
3.979,1.306,1.404,0.0,1.0,4.490099999999996,4.239
2.019,1.317,0.799,0.0,0.0,3.617,5.93
1.855,1.179,1.44,0.0,0.0,1.587,2.838
3.08,0.223,1.583,0.0,1.0,1.442,2.271
2.126,1.278,0.896,0.0,0.0,4.490099999999996,5.815
2.96,0.88,1.53,1.0,1.0,0.787,5.244
2.462,0.223,1.625,0.0,1.0,0.655,1.6833
3.921,0.134,1.789,0.0,0.0,2.502,3.861
2.56,0.134,1.758,0.0,0.0,0.347,2.283
3.316,0.223,1.571,0.0,1.0,1.795,2.94
1.822,0.829,0.834,0.0,0.0,2.509,3.731
2.824,0.223,1.051,0.0,0.0,1.801,3.168
2.802,0.223,1.6,1.0,0.0,1.064,3.825
3.896,0.134,1.571,0.0,0.0,3.503,4.822
3.155,0.638,2.0102999999999995,0.0,0.0,-0.317,1.6833
3.252,0.223,1.077,0.0,0.0,2.51,4.02
3.351,0.496,1.466,0.0,0.0,1.097,2.392
3.822,0.134,1.125,1.0,0.0,4.044,5.51
3.143,0.134,1.641,0.0,0.0,1.209,2.487
4.1695,0.405,1.458,1.0,1.0,4.490099999999996,3.139
2.377,0.827,0.938,0.0,0.0,2.239,5.083
2.111,0.134,1.253,0.0,0.0,0.468,2.914
2.641,0.496,1.077,0.0,1.0,1.697,3.537
3.179,0.134,1.063,0.0,0.0,2.942,3.947
4.135,0.58,1.263,1.0,2.0,2.904,5.538
3.196,1.38,1.234,0.0,0.0,1.321,6.018
2.333,0.251,1.946,0.0,0.0,-0.317,2.576
2.778,0.83,1.046,0.0,0.0,3.562,6.4837
2.417,1.028,1.162,0.0,1.0,3.19,4.169
3.219,0.811,1.127,0.0,0.0,2.604,4.257
3.181,0.604,1.52,0.0,0.0,3.126,4.68
2.283,1.07,1.223,0.0,0.0,1.112,4.278
2.026,0.223,1.667,1.0,0.0,0.202,2.65
3.691,0.711,1.073,0.0,2.0,1.746,5.472
2.479,0.887,0.954,0.0,0.0,1.748,4.119
3.441,0.134,1.667,0.0,0.0,3.516,4.538
2.377,0.827,0.938,0.0,0.0,2.239,3.991
3.641,1.192,1.481,0.0,1.0,3.16,5.052
2.585,1.4397999999999995,0.917,0.0,0.0,4.490099999999996,6.379
2.824,0.223,1.0,1.0,0.0,2.102,3.56
2.366,0.405,1.735,0.0,0.0,-0.317,1.6833
3.509,0.854,1.478,0.0,0.0,2.248,2.832
2.819,0.732,1.483,0.0,0.0,1.717,2.941
2.728,0.223,0.953,0.0,0.0,1.859,3.755
2.137,0.223,1.179,0.0,0.0,0.655,3.841
2.215,0.887,0.888,0.0,0.0,1.395,4.33
2.456,0.331,0.875,0.0,1.0,1.294,2.263
2.71,0.93,0.799,0.0,0.0,2.526,4.838
2.818,0.88,1.488,0.0,0.0,1.182,3.726
2.585,0.134,0.917,0.0,0.0,2.255,3.502
1.786,0.702,1.081,0.0,0.0,-0.317,6.4837
3.734,0.223,1.374,1.0,2.0,2.642,4.586
3.265,0.496,0.962,0.0,1.0,3.055,4.732
3.177,0.629,0.871,0.0,0.0,3.315,3.365
3.046,0.134,1.333,1.0,0.0,2.352,3.614
3.601,0.223,1.35,1.0,2.0,2.545,4.32
2.11,0.773,0.799,0.0,1.0,2.57,3.36
2.983,0.496,2.0102999999999995,0.0,0.0,-0.317,1.6833
3.343,1.068,0.923,0.0,0.0,2.538,3.327
2.442,0.934,0.984,0.0,1.0,3.259,4.208
3.024,0.452,2.0102999999999995,0.0,0.0,1.107,1.6833
1.7752,0.798,1.093,0.0,0.0,0.68,2.569
3.78,0.134,1.182,0.0,0.0,3.854,4.938
3.629,0.223,0.802,0.0,0.0,3.571,4.269
3.57,1.374,2.0102999999999995,0.0,0.0,2.05,6.083
2.126,0.405,0.917,1.0,2.0,0.411,6.38
3.462,0.405,1.717,0.0,1.0,2.06,4.557
3.188,1.182,1.244,0.0,1.0,1.845,5.012
4.121,0.829,1.551,0.0,1.0,3.913,5.653
1.783,0.629,0.799,1.0,0.0,0.736,3.46
2.512,0.223,0.929,1.0,0.0,1.769,3.919
4.1695,0.693,1.42,0.0,2.0,4.490099999999996,2.548
2.955,0.331,1.313,0.0,0.0,0.652,2.961
3.012,0.223,1.023,0.0,0.0,2.193,3.751
2.462,0.223,1.625,1.0,0.0,0.655,3.654
2.125,0.638,0.831,0.0,0.0,1.348,2.939
2.217,0.764,0.859,1.0,0.0,2.269,5.308
3.814,0.331,1.225,0.0,1.0,3.345,3.698
2.019,1.126,0.799,0.0,0.0,3.314,4.737
2.719,0.891,2.0102999999999995,0.0,0.0,1.94,3.289
2.11,1.15,0.799,1.0,0.0,3.157,5.518
1.7752,1.16,1.714,0.0,0.0,1.209,2.936
3.593,1.236,1.166,0.0,0.0,4.268,6.4837
1.7752,0.223,1.75,1.0,0.0,-0.317,3.076
2.728,0.223,0.953,0.0,0.0,1.859,3.897
4.005,0.223,1.545,0.0,1.0,3.953,5.055
3.247,0.638,0.889,0.0,1.0,2.922,4.68
3.465,0.134,0.802,0.0,0.0,3.958,4.984
3.394,0.134,0.868,0.0,0.0,3.677,4.199
2.026,0.223,1.429,1.0,0.0,0.202,5.259
2.755,0.405,1.559,0.0,1.0,0.996,3.123
2.928,1.113,1.185,0.0,1.0,2.927,4.141
3.023,0.56,1.168,0.0,1.0,1.75,3.379
3.08,0.223,1.385,0.0,0.0,1.195,2.07
2.755,0.405,1.844,0.0,1.0,0.996,3.231
2.815,0.56,1.585,0.0,2.0,0.43,2.758
3.179,0.134,1.063,0.0,0.0,2.942,3.822
2.477,0.405,0.876,0.0,1.0,1.7,2.474
2.126,0.405,1.69,1.0,1.0,0.479,3.573
3.559,0.223,1.36,0.0,0.0,2.446,3.458
3.41,0.134,1.722,0.0,0.0,-0.317,3.017
2.08,0.496,0.858,0.0,0.0,1.887,3.022
3.012,0.223,1.023,0.0,0.0,2.193,3.92
1.946,0.223,1.929,0.0,0.0,-0.172,1.6833
3.668,0.134,1.132,0.0,0.0,2.502,3.782
2.62,0.499,0.99,0.0,0.0,3.21,3.84
2.728,0.223,0.953,0.0,0.0,1.591,2.371
1.977,1.112,0.881,0.0,0.0,2.37,4.798
3.103,0.134,1.344,0.0,0.0,1.533,3.174
2.233,0.64,0.92,1.0,0.0,2.37,4.805
2.126,0.83,1.455,0.0,1.0,2.459,5.82
4.114,0.223,1.571,0.0,0.0,4.098,5.219
2.937,0.499,0.8,0.0,0.0,3.945,4.849
3.528,1.4397999999999995,1.288,0.0,0.0,0.626,5.466
2.748,0.223,1.705,0.0,0.0,0.8,1.6833
2.26,0.604,0.836,0.0,0.0,3.045,4.194
3.222,1.4397999999999995,0.872,0.0,0.0,4.490099999999996,5.861
3.788,0.693,1.365,0.0,2.0,2.576,4.664
3.461,0.223,1.12,0.0,0.0,2.813,4.672
2.08,0.891,0.816,0.0,0.0,2.729,4.332
2.572,1.4397999999999995,1.35,0.0,2.0,3.115,6.4837
1.7752,1.077,0.81,0.0,0.0,3.11,4.63
1.7752,0.429,2.0102999999999995,0.0,0.0,-0.317,1.897
4.1695,0.405,1.345,0.0,0.0,3.546,4.668
2.634,0.223,1.298,0.0,0.0,0.943,3.131
2.594,0.251,0.861,0.0,0.0,1.68,3.112
3.426,0.693,1.488,0.0,1.0,1.294,3.025
1.975,0.802,0.799,1.0,0.0,2.799,4.227
2.479,0.887,0.954,0.0,0.0,1.748,4.458
2.183,0.93,0.846,0.0,0.0,1.395,3.666
2.126,0.251,1.114,0.0,0.0,0.143,2.157
3.027,0.331,1.472,1.0,0.0,1.807,3.51
3.378,1.38,1.25,0.0,0.0,1.654,5.933
3.739,0.134,1.25,1.0,2.0,3.267,2.149
1.7752,0.713,1.19,0.0,0.0,1.313,2.056
4.1695,0.405,1.228,1.0,2.0,4.235,6.4837
3.587,0.675,2.0102999999999995,0.0,0.0,2.527,3.656
3.739,0.134,1.161,0.0,0.0,4.431,5.68
3.462,0.405,1.717,0.0,1.0,2.06,4.208
3.728,0.956,1.17,0.0,0.0,4.490099999999996,5.574
3.101,1.4397999999999995,1.326,0.0,1.0,1.655,6.238
2.62,0.499,0.99,0.0,0.0,3.21,4.23
3.739,0.134,1.204,0.0,1.0,3.374,5.434
4.139,0.496,1.43,0.0,1.0,4.206,5.767
2.834,0.134,0.95,0.0,0.0,1.591,3.021
4.1695,1.4397999999999995,1.087,0.0,0.0,2.294,4.475
3.111,0.732,0.923,0.0,0.0,4.068,5.643
2.111,1.4397999999999995,1.298,0.0,0.0,3.225,5.73
2.507,0.405,1.5,0.0,2.0,0.076,2.851
3.675,1.112,1.314,0.0,1.0,3.474,4.706
2.031,0.854,2.0102999999999995,0.0,0.0,-0.317,2.689
4.1695,0.56,1.254,1.0,2.0,3.399,6.4837
2.876,0.928,1.372,0.0,1.0,1.737,6.148
2.079,0.988,0.836,0.0,1.0,2.481,2.608
1.965,1.028,0.799,0.0,0.0,2.116,5.303
3.921,0.251,1.398,0.0,0.0,1.622,3.416
2.542,0.429,1.891,0.0,0.0,0.562,2.12
2.218,0.923,1.074,0.0,0.0,0.291,3.237
2.031,0.872,1.475,0.0,1.0,0.202,6.424
2.728,0.223,0.953,0.0,0.0,1.859,3.29
2.428,0.956,2.0102999999999995,0.0,0.0,0.113,1.6833
3.316,0.223,1.571,1.0,0.0,1.795,3.854
2.435,0.331,1.532,0.0,1.0,0.586,2.014
2.777,0.56,1.127,1.0,0.0,1.433,4.767
3.023,0.56,1.168,0.0,1.0,2.294,3.924
2.08,1.033,0.902,0.0,0.0,3.157,3.693
1.822,0.681,0.799,0.0,0.0,2.335,3.696
2.086,0.331,1.221,1.0,0.0,0.143,3.815
3.566,0.134,1.595,0.0,0.0,1.94,3.719
1.7752,0.223,1.068,0.0,0.0,0.202,4.564
3.74,0.134,1.581,0.0,0.0,2.274,4.396
4.1695,1.028,1.224,0.0,1.0,4.490099999999996,5.758
3.164,1.4397999999999995,0.83,0.0,1.0,4.490099999999996,6.113
1.7752,0.64,1.844,0.0,0.0,0.347,3.203
3.065,1.079,0.825,0.0,0.0,4.490099999999996,6.4837
3.402,0.604,1.517,0.0,0.0,3.451,5.086
2.508,0.58,0.941,0.0,0.0,1.701,3.766
3.026,0.405,1.548,0.0,1.0,1.373,2.84
3.376,1.278,0.915,0.0,0.0,4.490099999999996,4.862
3.332,0.134,1.068,0.0,0.0,2.242,3.806
3.03,1.4397999999999995,1.027,0.0,2.0,4.490099999999996,6.4837
1.94,0.749,1.066,0.0,0.0,1.492,2.99
3.426,0.85,1.792,0.0,0.0,2.59,4.377
2.878,0.134,1.684,0.0,0.0,0.8,2.436
2.462,0.223,1.669,0.0,0.0,0.408,1.6833
3.2,1.4397999999999995,1.059,0.0,0.0,3.089,6.16
2.217,0.872,0.875,0.0,0.0,1.769,4.182
4.1695,0.223,1.248,0.0,0.0,4.177,5.78
3.26,0.829,1.676,0.0,1.0,1.453,3.77
3.599,0.702,1.514,1.0,1.0,3.247,6.183
3.073,0.693,1.438,0.0,2.0,0.787,1.6833
2.43,0.496,0.946,0.0,0.0,2.241,3.568
1.844,1.275,0.804,0.0,0.0,3.109,6.4837
2.122,1.4397999999999995,1.511,0.0,0.0,2.64,5.677
1.778,0.223,1.203,0.0,0.0,0.156,3.048
3.332,0.134,1.294,0.0,0.0,2.242,3.374
3.67,0.728,2.0102999999999995,0.0,2.0,2.288,2.964
2.609,0.604,1.529,0.0,0.0,2.419,3.572
2.374,0.811,0.817,1.0,0.0,2.841,5.277
2.534,0.872,1.619,0.0,0.0,-0.317,2.732
3.137,0.251,1.335,0.0,0.0,1.141,2.412
3.003,0.134,1.413,0.0,0.0,2.242,2.647
2.126,0.83,0.899,0.0,0.0,3.478,4.552
3.669,0.486,1.374,0.0,0.0,3.291,4.61
2.9,1.275,0.913,0.0,1.0,3.574,6.4837
2.565,0.452,1.529,0.0,0.0,0.242,2.115
1.7752,0.57,0.879,0.0,1.0,-0.317,2.445
3.014,0.56,1.987,0.0,1.0,0.538,3.496
2.987,1.076,0.921,0.0,1.0,3.318,6.077
3.961,0.405,1.083,1.0,0.0,3.987,5.842
2.982,0.496,1.151,0.0,1.0,1.783,3.665
3.596,0.972,0.941,0.0,1.0,4.179,4.828
2.309,0.907,0.871,0.0,0.0,3.046,3.775
3.029,0.331,1.847,0.0,0.0,0.314,2.474
3.195,0.496,1.133,0.0,1.0,2.222,4.446
1.7752,1.098,1.752,0.0,0.0,-0.297,3.046
3.55,1.182,1.624,0.0,0.0,2.433,4.811
3.13,0.429,0.88,0.0,0.0,2.679,5.229
3.9,0.429,1.572,0.0,1.0,2.297,3.842
3.073,0.693,1.851,0.0,2.0,0.787,4.016
2.118,0.956,1.643,0.0,0.0,-0.317,3.638
3.282,0.56,1.749,0.0,2.0,1.117,3.757
4.1695,0.405,1.189,1.0,2.0,4.490099999999996,5.307
2.748,0.223,2.0102999999999995,0.0,0.0,0.8,1.6833
2.507,0.405,1.652,1.0,1.0,0.888,4.603
4.1695,0.865,1.327,0.0,0.0,4.295,5.642
4.057,1.032,1.183,1.0,2.0,4.490099999999996,6.4837
3.993,0.223,1.214,1.0,0.0,3.563,4.611
2.512,0.134,1.293,0.0,0.0,0.846,2.811
2.815,0.56,1.585,1.0,1.0,0.43,4.59
2.086,0.64,0.838,0.0,0.0,2.127,4.459
3.86,0.223,1.55,0.0,1.0,3.661,4.51
3.924,0.693,1.707,0.0,2.0,2.314,4.713
1.844,1.275,0.804,0.0,0.0,3.109,6.4837
2.986,0.961,1.669,0.0,2.0,1.798,3.152
3.035,0.223,1.941,0.0,0.0,1.209,2.107
4.037,0.134,1.563,0.0,0.0,3.806,5.18
2.252,1.075,0.885,0.0,0.0,2.005,5.303
3.277,0.486,1.416,0.0,0.0,2.604,5.47
1.961,0.134,1.27,0.0,0.0,0.156,2.505
1.832,1.209,1.364,0.0,0.0,-0.317,3.828
3.734,0.223,1.45,1.0,1.0,2.642,3.84
2.8,0.693,1.091,0.0,1.0,1.437,3.603
2.216,0.582,0.839,0.0,0.0,2.127,4.353
3.361,0.223,1.437,1.0,2.0,2.021,3.168
2.233,0.46,0.799,1.0,0.0,2.206,4.96
3.055,1.273,1.132,0.0,0.0,2.931,5.393
3.103,0.134,1.016,0.0,0.0,2.193,3.651
2.95,1.4397999999999995,1.351,0.0,2.0,3.11,5.383
3.036,0.405,1.205,1.0,0.0,1.807,3.733
2.377,0.331,1.734,0.0,0.0,-0.317,1.6833
2.126,0.83,1.455,1.0,0.0,2.459,4.184
4.1695,1.209,1.968,0.0,0.0,2.437,4.551
2.396,1.4397999999999995,1.351,0.0,0.0,3.32,6.023
2.834,0.134,0.95,0.0,0.0,1.859,3.12
2.918,0.223,0.944,1.0,0.0,2.066,4.59
2.544,0.223,1.245,0.0,0.0,1.064,1.6833
2.639,1.4397999999999995,0.83,0.0,0.0,4.490099999999996,5.985
3.776,0.405,0.92,0.0,0.0,3.306,4.691
1.7752,0.629,1.483,0.0,0.0,-0.317,1.6833
2.926,0.582,1.939,0.0,0.0,1.548,3.046
2.233,0.57,0.883,0.0,0.0,1.501,3.325
2.594,0.251,1.287,0.0,0.0,0.454,1.749
3.514,0.134,1.07,1.0,0.0,3.315,6.4837
3.198,0.405,1.399,0.0,0.0,1.897,3.874
